headline,url,outlet
Indiana governor's race fueled by donors skirting set limits,http://www.southbendtribune.com/news/elections/indiana-governor-s-race-fueled-by-donors-skirting-set-limits/article_d0272e8d-53ca-5be2-abe1-5f174f9e6b06.html,The Associated Press
"Planned Parenthood, ACLU sue Indiana over new abortion law",http://www.bigstory.ap.org/article/f70b6da4f4654df79848eb45627c4e16/planned-parenthood-aclu-sue-indiana-over-new-abortion-law,The Associated Press
Indiana mandates concussion training for public coaches,http://www.bigstory.ap.org/article/3f30cf088822474d8a689fbcf09030fb/indiana-oks-concussion-training-public-school-coaches,The Associated Press
"Presidential candidates, except Kasich, ramp up ahead of Indiana primary",http://www.journalgazette.net/news/local/indiana/Candidates--except-Kasich--ramp-up-ahead-of-Indiana-primary-12745977,The Associated Press
Notre Dame may have to release documents to ESPN,http://www.washingtontimes.com/news/2016/mar/15/indiana-court-sides-with-espn-in-notre-dame-record/,The Associated Press
Holcomb sworn in as Indiana's new lieutenant governor,http://www.elkharttruth.com/news/indiana/2016/03/03/Confirmation-vote-set-on-new-Indiana-lieutenant-governor.html,The Associated Press
Indiana House committee tosses hate-crimes bill,http://www.nwitimes.com/news/state-and-regional/indiana/indiana-house-committee-tosses-hate-crimes-bill/article_1eb50c65-c652-5443-ba82-bdff7317a0e5.html,The Associated Press
Pence backing religious freedom in LGBT rights debate,http://bigstory.ap.org/article/733e00dd0b134d52b175988eb30c2645/pence-backing-religious-freedom-lgbt-rights-debate,The Associated Press
Indiana House committee tosses hate-crimes bill,http://www.nwitimes.com/news/state-and-regional/indiana/indiana-house-committee-tosses-hate-crimes-bill/article_1eb50c65-c652-5443-ba82-bdff7317a0e5.html,The Associated Press
Student government VP resigns after hospitalized for depression,http://www.ballstatedaily.com/article/2014/09/sga_resignition,Ball State Daily News
