station_id,name,longitude,latitude,coverage_date_start,coverage_date_end,historic_meltout_day,historic_meltout_date,historic_meltout_year,current_meltout_date,current_meltout_day,latest_data_date,latest_data_value,latest_data_percent_median,updated_at
1030,Arapaho Ridge,-106.38141,40.35098,2002-08-01 00:00,2100-01-01 00:00,230,May 17,2012,,,April 07,10.7,0.47767857142857145,2026-04-07 10:17:39
322,Bear Lake,-105.6467,40.31176,1979-10-01 00:00,2100-01-01 00:00,219,May 06,1981,,,April 07,10.1,0.5941176470588235,2026-04-07 10:17:39
327,Beartown,-107.5124,37.71433,1979-10-01 00:00,2100-01-01 00:00,213,April 30,2012,,,April 07,2.6,0.12093023255813953,2026-04-07 10:17:40
335,Berthoud Summit,-105.77786,39.80364,1963-09-01 00:00,2100-01-01 00:00,218,May 05,2012,,,April 07,7.4,0.3814432989690722,2026-04-07 10:17:40
345,Bison Lake,-107.35628,39.76458,1985-09-30 00:00,2100-01-01 00:00,245,June 01,2002,,,April 07,10.8,0.4444444444444445,2026-04-07 10:17:41
1185,Black Mesa,-108.18376,37.78968,2011-07-28 00:00,2100-01-01 00:00,242,May 29,2018,,,April 07,13.4,,2026-04-07 10:17:41
369,Brumley,-106.54231,39.08758,1979-10-01 00:00,2100-01-01 00:00,199,April 16,2002,,,April 07,0.5,0.046296296296296294,2026-04-07 10:17:42
938,Buckskin Joe,-106.11316,39.30378,1998-08-10 00:00,2100-01-01 00:00,223,May 10,2002,,,April 07,2.2,0.21359223300970875,2026-04-07 10:17:42
913,Buffalo Park,-106.5962,40.22838,1995-09-01 00:00,2100-01-01 00:00,214,May 01,2002,,,April 07,3.2,0.22535211267605637,2026-04-07 10:17:43
378,Burro Mountain,-107.59902,39.87504,1978-10-01 00:00,2100-01-01 00:00,210,April 27,2012,,,April 07,0.3,0.018987341772151896,2026-04-07 10:17:43
380,Butte,-106.95327,38.89435,1979-10-01 00:00,2100-01-01 00:00,209,April 26,2012,,,April 07,4.9,0.37121212121212127,2026-04-07 10:17:44
1101,Chapman Tunnel,-106.62944,39.2621,2007-09-01 00:00,2100-01-01 00:00,208,April 25,2012,,,April 07,3.5,0.23648648648648649,2026-04-07 10:17:45
408,Columbine,-106.60437,40.39591,1978-10-01 00:00,2100-01-01 00:00,207,April 24,2012,,,April 07,3.9,0.17567567567567569,2026-04-07 10:17:45
409,Columbine Pass,-108.38313,38.41819,1985-10-01 00:00,2100-01-01 00:00,189,April 06,2015,March 28,180,April 07,0.9,0.05806451612903226,2026-04-07 10:17:46
904,Columbus Basin,-108.02468,37.44146,1994-08-30 00:00,2100-01-01 00:00,220,May 07,2002,,,April 07,10.3,0.42040816326530617,2026-04-07 10:17:46
415,Copper Mountain,-106.17154,39.48917,1978-10-01 00:00,2100-01-01 00:00,221,May 08,2012,,,April 07,4.0,0.26666666666666666,2026-04-07 10:17:47
426,Crosho,-107.05769,40.16749,1985-10-01 00:00,2100-01-01 00:00,189,April 06,2012,March 29,181,April 07,0.1,0.009433962264150945,2026-04-07 10:17:47
431,Cumbres Trestle,-106.45275,37.01877,1979-10-01 00:00,2100-01-01 00:00,204,April 21,2002,,,April 07,3.2,0.12749003984063745,2026-04-07 10:17:48
438,Deadman Hill,-105.77018,40.80572,1978-10-01 00:00,2100-01-01 00:00,234,May 21,2012,,,April 07,8.2,0.5061728395061729,2026-04-07 10:17:48
457,Dry Lake,-106.7814,40.5337,1979-10-01 00:00,2100-01-01 00:00,205,April 22,2012,,,April 07,2.2,0.11000000000000001,2026-04-07 10:17:49
465,El Diente Peak,-108.02235,37.78607,1985-10-01 00:00,2100-01-01 00:00,195,April 12,2012,March 23,175,April 07,1.0,0.07692307692307693,2026-04-07 10:17:50
467,Elk River,-106.96861,40.84758,1978-10-01 00:00,2100-01-01 00:00,205,April 22,2012,,,April 07,1.2,0.06976744186046512,2026-04-07 10:17:50
1120,Elliot Ridge,-106.42473,39.8638,2009-08-07 00:00,2100-01-01 00:00,219,May 06,2012,,,April 07,9.9,0.5,2026-04-07 10:17:51
1186,Fool Creek,-105.86765,39.86866,2011-07-28 00:00,2100-01-01 00:00,241,May 28,2012,,,April 07,10.8,,2026-04-07 10:17:51
485,Fremont Pass,-106.19784,39.38014,1979-10-01 00:00,2100-01-01 00:00,242,May 29,2002,,,April 07,7.5,0.45454545454545453,2026-04-07 10:17:52
